+------+--------+----------------------------+-----------+----------------+
| NO.  |  Code  |            Name            |    Area   | Green Coverage |
| 0887 |  283   |          金秋花园          |     --    |      30%       |
| 0888 |  1193  |         圆梦园公寓         |   16072   |      30%       |
| 0889 |  1298  |         桂花城别墅         |  153410   |      68%       |
| 0890 | 265833 |          江滨澜廷          |     --    |      20%       |
| 0891 |  9429  |          联合麦田          |   4768    |      30%       |
| 0892 |  139   |          盛德嘉苑          |     --    |      30%       |
| 0893 |  956   |          金厦公寓          |   45000   |     32.50%     |
| 0894 |  1216  |          福利新村          |   12000   |      40%       |
| 0895 |  1075  |          之江公寓          |     --    |      40%       |
| 0896 | 45256  |          钱塘帝景          |   6.79万  |      30%       |
| 0897 | 304157 |        新城香悦公馆        |   86118   |      30%       |
| 0898 |  9485  |          东田玉城          |   100000  |      30%       |
| 0899 |  485   |          翠苑佳居          |   12000   |      30%       |
| 0900 |  3983  |         大关南七苑         |   374000  |      41%       |
| 0901 |  6642  |          通盛嘉苑          |    2560   |      40%       |
| 0902 |  1309  |           文二路           |     --    |      12%       |
| 0903 |  4656  |         景芳新五区         |   36000   |      40%       |
| 0911 | 20783  |        同方国际广场        |    4862   |      15%       |
| 0912 |  9280  |      钱江国际时代广场      |   29339   |      20%       |
| 0913 | 265833 |          江滨澜廷          |     --    |      20%       |
| 0914 | 13119  |      广厦天都城天水苑      |   98039   |     31.8%      |
| 0915 |   80   |          银河嘉园          |   35211   |      38%       |
| 0916 |  1682  |          君悦丽景          |  25454.5  |      36%       |
| 0917 | 21758  |          吉如家园          |   249467  |      30%       |
| 0918 |  985   |         叶家弄小区         |   10000   |      33%       |
| 0919 |  647   |          锦江半岛          |    6500   |      45%       |
| 0920 |  4813  |           仁寿山           |     --    |      18%       |
| 0921 |  9201  |         绿城风华苑         |   57442   |      41%       |
| 0922 |  531   |        皇朝城市花园        |     --    |      25%       |
| 0923 | 287603 |         IOT未来城          |     --    |      2.50      |
| 0924 |  808   |          杭大新村          |   30000   |      20%       |
| 0925 | 199148 |         东亚新干线         |   23660   |      25%       |
| 0926 |  1625  |          万银国际          |   10000   |      15%       |
| 0927 |  4281  |          秀月家园          |     --    |      25%       |
| 0928 | 17642  |         奥兰多小镇         |   51174   |      75%       |
| 0929 |  657   |          丽景西苑          |     --    |      30%       |
| 0937 | 20785  |        野风现代之星        |     --    |       --       |
| 0938 |  290   |          景芳东区          |     --    |      33%       |
| 0939 |  1300  |          铁岭花园          |    8000   |      35%       |
| 0940 |  1215  |          鸣翠蓝湾          |  160000   |      50%       |
| 0941 |  1029  |          龙门公寓          |   10789   |      30%       |
| 0942 | 191245 |          春天花园          |   10000   |      30%       |
| 0943 |  322   |          水岸雅苑          |     --    |      35%       |
| 0944 |  1566  |        紫晶商务大厦        |   12337   |      25%       |
| 0945 | 155907 |         施家桥公社         |     --    |       --       |
| 0946 |  9441  |      广厦天都城天泉苑      |     --    |      35%       |
| 0947 | 45256  |          钱塘帝景          |   6.79万  |      30%       |
| 0948 |  385   |         彩霞岭新村         |   190000  |      25%       |
| 0949 | 36250  |         龙湖滟澜山         |    18万   |      30%       |
| 0950 |  9176  |          福临花苑          |   29140   |      35%       |
| 0951 |  1585  |        西湖8号公馆         |   5980    |      35%       |
| 0952 |  5431  |          紫云山庄          |     --    |      60%       |
| 0953 |  1565  |           庆和苑           |   58333   |      40%       |
| 0954 | 10548  |          西溪梅园          |     --    |      35%       |
| 0955 | 23883  |        钱塘航空大厦        |   14683   |      20%       |
| 0963 |  817   |          元华公寓          |   10000   |      30%       |
| 0964 | 303646 |          长龙领航          |   66408   |       --       |
| 0965 |  1591  |        广宇湖滨公寓        |    8636   |      15%       |
| 0966 |  1573  |           广景苑           |   13476   |      30%       |
| 0967 |  1112  |          采荷芙蓉          |   13000   |      35%       |
| 0968 |  4817  |          采荷翠柳          |   10000   |      30%       |
| 0969 | 19041  |         东新园小区         |   580000  |      35%       |
| 0970 |  9606  |          通润银座          |   4486    |      20%       |
| 0971 | 37348  |          田园牧歌          |   204000  |      30%       |
| 0972 |  1055  |           近江苑           |   102000  |     30.5%      |
| 0973 |  173   |          圣都公寓          |     --    |      35%       |
| 0974 | 10616  |        德泰御峰大厦        |     --    |       --       |
| 0975 |  762   |         白泽弄小区         |    100    |      100%      |
| 0976 |  4805  |           红枫苑           |   33350   |      30%       |
| 0977 |   96   |           永安坊           |     --    |      10%       |
| 0978 |  224   |          朝晖八区          |     --    |      30%       |
| 0979 |  725   |           珠碧苑           |    4560   |      30%       |
| 0980 |   14   |           华龙坊           |   10000   |      25%       |
| 0981 | 36230  |         中顺上尚庭         |   34824   |      41%       |
| 0989 | 10616  |        德泰御峰大厦        |     --    |       --       |
| 0990 |  173   |          圣都公寓          |     --    |      35%       |
| 0991 | 19041  |         东新园小区         |   580000  |      35%       |
| 0992 |  4805  |           红枫苑           |   33350   |      30%       |
| 0993 | 47545  |        顺发吉祥半岛        |   174389  |      30%       |
| 0994 |   96   |           永安坊           |     --    |      10%       |
| 0995 |  725   |           珠碧苑           |    4560   |      30%       |
| 0996 |   14   |           华龙坊           |   10000   |      25%       |
| 0997 | 36230  |         中顺上尚庭         |   34824   |      41%       |
| 0998 |  458   |          西溪公寓          |     --    |      28%       |
| 0999 |  121   |          长德公寓          |   102000  |      35%       |
| 1000 |  649   |         东海未名园         |   28203   |      35%       |
| 1001 |  307   |           东茂苑           |   102000  |      35%       |
| 1002 |  7870  |         青源上林湖         |  333500   |      40%       |
| 1003 |  9191  |        华立永通逸城        |  380000   |      45%       |
| 1004 | 34466  |         华元爱丁郡         |   52226   |      30%       |
| 1005 |  778   |           清远里           |   82000   |      35%       |
| 1006 |  231   |          庆晖公寓          |   10000   |      40%       |
| 1007 |  9486  |        众安恒隆广场        |   39055   |      30%       |
| 1015 |  6100  |        南都花园别墅        |     --    |      30%       |
| 1016 | 46595  |          远洋公馆          |   300000  |      30%       |
| 1017 |  8575  |          启真名苑          |     --    |      27%       |
| 1018 | 26874  |         丁桥颐景园         |   37575   |     30.3%      |
| 1019 |  118   |          六塘公寓          |   61000   |      30%       |
| 1020 | 34461  |         汉峰峰公馆         |   15000   |      35%       |
| 1021 |  487   |          浪琴翠苑          |     --    |      30%       |
| 1022 |  999   |           栖霞岭           |     --    |      20%       |
| 1023 |   2    |          近江一园          |     --    |      30%       |
| 1024 | 18756  |          盛泰名都          |   26163   |      30%       |
| 1025 | 43807  |         保利湾天地         |   57000   |      30%       |
| 1026 |  1390  |          三江新村          |   102000  |      26%       |
| 1027 |  7178  |          西湖花园          |   86681   |      40%       |
| 1028 |  5978  |        北景园菊香苑        |     --    |      35%       |
| 1029 |   8    |          近江七园          |   10000   |      30%       |
| 1030 |  712   |          温馨家园          |     --    |      33%       |
| 1031 |  9188  |        永安圆乡名筑        |  63669.85 |      30%       |
| 1032 |  204   |          西湖新城          |   82000   |      35%       |
| 1033 |  6016  |        望江新园二园        |   140000  |      30%       |
| 1041 | 101246 |        义蓬购物中心        |     --    |       --       |
| 1042 |  9384  |         西溪君逸汇         |   11650   |      30%       |
| 1043 |  1673  |          北秀蓝湾          |   44113   |     35.5%      |
| 1044 | 17637  |          亿城雅苑          |     --    |      30%       |
| 1045 |  1663  |           阳明谷           |  250000   |      42%       |
| 1046 |   16   |          耀江福村          |   102000  |      26%       |
| 1047 |  481   |          建工新村          |   511720  |      1.5%      |
| 1048 |  6176  |          文天公寓          |     --    |      28%       |
| 1049 | 39019  |        宋都晨光国际        |   120000  |      30%       |
| 1050 |  3992  |         大关西六苑         |   30000   |      35%       |
| 1051 | 14744  |        水乡西溪小筑        |     --    |      30%       |
| 1052 |  6651  |       万家花园万和苑       |     --    |       1%       |
| 1053 |  233   |         平凡里公寓         |   12267   |      25%       |
| 1054 | 39670  |         亿丰蔚蓝郡         |   33792   |      30%       |
| 1055 |  9218  |        西溪天堂悦居        |   14745   |      30%       |
| 1056 |  9014  |          江南新港          |   26302   |      30%       |
| 1057 |  1683  |           旺角城           |  135000   |      35%       |
| 1058 |  1087  |         曙光路小区         |     --    |      18%       |
| 1059 |  5964  |       东新园东荷星苑       |   112000  |      35%       |
| 1067 |  515   |          美都新村          |     --    |      36%       |
| 1068 | 29855  |          紫兰公寓          |   25868   |      30%       |
| 1069 |   66   |          田园公寓          |   28000   |      40%       |
| 1070 |  734   |           天赐苑           |     --    |      30%       |
| 1071 |  6308  |         新德雅公寓         |     --    |      10%       |
| 1072 | 69940  |         锦昌文华苑         |   120000  |      28%       |
| 1073 | 21843  |        方正360空间         |    9000   |      25%       |
| 1074 |  4213  |          南湖丽景          |   35300   |      35%       |
| 1075 |  269   |          凯旋新村          |   82000   |      30%       |
| 1076 |  476   |          瑞祺大厦          |     --    |      20%       |
| 1077 |  1053  |        环城西路小区        |     --    |       --       |
| 1078 | 199378 |        绿城桃源小镇        |   80343   |      40%       |
| 1079 |  6016  |        望江新园二园        |   140000  |      30%       |
| 1080 |   73   |          勤丰小区          |     --    |      38%       |
| 1081 |  1381  |      万安城市花园西苑      |   20012   |       25       |
| 1082 |  1524  |          康城国际          |  200000   |      35%       |
| 1083 |  664   |           御跸苑           |     --    |      32%       |
| 1084 |  4986  |          黄鹤山居          |   40360   |     37.54%     |
| 1085 | 47543  |        方正荷塘月色        |   52793   |      49%       |
| 1093 |  4213  |          南湖丽景          |   35300   |      35%       |
| 1094 | 18104  |          金祝花园          |     --    |      10%       |
| 1095 |  269   |          凯旋新村          |   82000   |      30%       |
| 1096 |  476   |          瑞祺大厦          |     --    |      20%       |
| 1097 |  1053  |        环城西路小区        |     --    |       --       |
| 1098 |   73   |          勤丰小区          |     --    |      38%       |
| 1099 |  1381  |      万安城市花园西苑      |   20012   |       25       |
| 1100 | 67747  |     世茂江滨花园瑞景湾     |   276000  |     40.30%     |
| 1101 | 10546  |           求智弄           |     --    |       8%       |
| 1102 | 43815  |        滨江金色黎明        |   190000  |      30%       |
| 1103 | 44186  |         世茂西西湖         |   184739  |     31.7%      |
| 1104 |  1524  |          康城国际          |  200000   |      35%       |
| 1105 | 35847  |           欣景苑           |     --    |      35%       |
| 1106 | 38434  |        德信泊林印象        |   83334   |      30%       |
| 1107 |  664   |           御跸苑           |     --    |      32%       |
| 1108 |  6308  |         新德雅公寓         |     --    |      10%       |
| 1109 |  4986  |          黄鹤山居          |   40360   |     37.54%     |
| 1110 | 69940  |         锦昌文华苑         |   120000  |      28%       |
| 1111 | 47543  |        方正荷塘月色        |   52793   |      49%       |
| 1119 |  465   |           梅苑阁           |    1500   |      26%       |
| 1120 |  9718  |      欣北钱江国际广场      |   22533   |      25%       |
| 1121 |  1163  |          流水北苑          |   82000   |      35%       |
| 1122 | 21182  |          西溪玫瑰          |   99523   |      30%       |
| 1123 |  1356  |           东新关           |     --    |      0.2       |
| 1124 |  4665  |          滨江家园          |   46149   |     35.1%      |
| 1125 |  1252  |        凤起商务大厦        |   10000   |      35%       |
| 1126 |  5910  |       都市水乡水秀苑       |     --    |      25%       |
| 1127 |  9370  |        创佳MOHO尚筑        |    4488   |      40%       |
| 1128 | 39172  |        远洋大河宸章        |     --    |      30%       |
| 1129 |  815   |         黄龙世纪苑         |     --    |      25%       |
| 1130 | 62680  |          朗郡庭园          |     --    |       --       |
| 1131 | 111779 |        绿城之江1号         |   190000  |      35%       |
| 1132 |  781   |        中山北路小区        |     --    |      20%       |
| 1133 |   6    |          近江五园          |   10000   |      35%       |
| 1134 |  771   |         安吉路小区         |     --    |       --       |
| 1135 | 70056  |          风雅钱塘          |   350000  |     55.00%     |
| 1136 |  480   |          锦绣文苑          |   17804   |      45%       |
| 1137 |  9491  |         恒河依山郡         |   140493  |      58%       |
| 1145 |  4789  |          缤纷小区          |     --    |      30%       |
| 1146 |  7395  |          中北花园          |     --    |      30%       |
| 1147 |  9112  |         帝凯帝景园         |   59333   |      35%       |
| 1148 |  9140  |          阳光华城          |   98835   |      36%       |
| 1149 | 17613  |          同人广场          |     --    |      20%       |
| 1150 | 248116 |      中豪国际商业中心      |     --    |      25%       |
| 1151 | 21189  |          海棠公寓          |   33196   |      30%       |
| 1152 |  170   |          双荡新村          |   80000   |      35%       |
| 1153 |  8177  |        京明凤凰家园        |   10000   |      30%       |
| 1154 | 18702  |    远洋杭州大运河商务区    |   30000   |      30%       |
| 1155 |  4791  |          华艺星座          |   54539   |      30%       |
| 1156 | 63208  |        富越香郡盈座        |   42000   |      25%       |
| 1157 |  1173  |        三新家园东区        |     --    |      25%       |
| 1158 |   53   |          加州阳光          |   90000   |      40%       |
| 1159 |  3991  |         大关东五苑         |   10000   |      35%       |
| 1160 |  1410  |         吴山鸣翠苑         |     --    |       --       |
| 1161 |  1583  |        凯恩西湖金座        |   3500    |      20%       |
| 1162 |  986   |          紫金观巷          |    2569   |      30%       |
| 1163 |  167   |           墨香苑           |    3500   |      33%       |
| 1171 |   18   |          在水一方          |   82500   |      30%       |
| 1172 | 34446  |          金帝海珀          |   140000  |      35%       |
| 1173 |  5707  |          长江小区          |     --    |      30%       |
| 1174 |  626   |         青年路小区         |     --    |      25%       |
| 1175 |  986   |          紫金观巷          |    2569   |      30%       |
| 1176 |  227   |           打铁关           |     --    |      21%       |
| 1177 | 38434  |        德信泊林印象        |   83334   |      30%       |
| 1178 |  5921  |       都市水乡水曲苑       |     --    |      25%       |
| 1179 | 54142  |          闲林山水          |     --    |      35%       |
| 1180 |   4    |          近江三园          |     --    |      30%       |
| 1181 |   43   |          中南公寓          |     --    |      30%       |
| 1182 | 106179 |         中天西城纪         |   42711   |      30%       |
| 1183 |  1483  |          盛德欣苑          |   15104   |      30%       |
| 1184 |  4057  |          宜家时代          |   12245   |      25%       |
| 1185 |  9476  |      三墩新天地香港城      |   55749   |       --       |
| 1186 |  9757  |          视界之窗          |   7603    |      30%       |
| 1187 | 48498  |          仁苑小区          |   20000   |      30%       |
| 1188 |  1433  |         大关东一苑         |   36000   |      5.6%      |
| 1189 | 46595  |          远洋公馆          |   300000  |      30%       |
| 1197 |  441   |         中兴文都苑         |     --    |      18%       |
| 1198 | 34446  |          金帝海珀          |   140000  |      35%       |
| 1199 |  4533  |        瑞金华庭嘉苑        |   57340   |      35%       |
| 1200 |  5707  |          长江小区          |     --    |      30%       |
| 1201 |  227   |           打铁关           |     --    |      21%       |
| 1202 | 183921 |          紫金公寓          |    8000   |      35%       |
| 1203 |  5921  |       都市水乡水曲苑       |     --    |      25%       |
| 1204 |   43   |          中南公寓          |     --    |      30%       |
| 1205 |  1483  |          盛德欣苑          |   15104   |      30%       |
| 1206 |  4057  |          宜家时代          |   12245   |      25%       |
| 1207 | 48498  |          仁苑小区          |   20000   |      30%       |
| 1208 |  1433  |         大关东一苑         |   36000   |      5.6%      |
| 1209 | 13844  |          春江名苑          |     --    |      30%       |
| 1210 | 17628  |         信雅达国际         |     --    |      35%       |
| 1211 | 30723  |        美达北城天地        |   25000   |      20%       |
| 1212 |  567   |          华门世家          |   90900   |      30%       |
| 1213 |  814   |          涌金花园          |     --    |      35%       |
| 1214 | 157236 |        龙湖春江郦城        |   128383  |      30%       |
| 1215 |  122   |          长兴公寓          |     --    |      30%       |
| 1223 |   5    |          近江四园          |   800000  |      30%       |
| 1224 |  1266  |          体育场路          |     --    |       --       |
| 1225 |  979   |          华藏寺巷          |   10000   |      35%       |
| 1226 |  190   |         哑巴弄小区         |     --    |      36%       |
| 1227 | 34490  |         星桥桂花城         |   86671   |      30%       |
| 1228 | 79393  |          华瑞晴庐          |   89438   |      30%       |
| 1229 |  4780  |          鸥江公寓          |   10000   |      25 %      |
| 1230 |  952   |          嘉汇大厦          |     --    |       --       |
| 1231 |  330   |          海月花园          |   93000   |      42%       |
| 1232 | 132866 |        滨江金色江南        |     --    |      30%       |
| 1233 |  6314  |           朝晖苑           |     --    |      35%       |
| 1234 |  4225  |           景月湾           |     --    |      52%       |
| 1235 |   75   |          华丰新村          |     --    |      30%       |
| 1236 |  6306  |       南肖埠北景东苑       |     --    |      25%       |
| 1237 | 189958 |       中南白马湖壹号       |   98182   |      30%       |
| 1238 |  6937  |          东冠逸家          |   28365   |      30%       |
| 1239 |  696   |          东清大厦          |   35000   |       --       |
| 1240 | 18965  |          丁桥兰苑          |     --    |      30%       |
| 1241 |  160   |         信义坊新村         |   12321   |      30%       |
| 1249 | 21186  |          锦兰公寓          |   18000   |      30%       |
| 1250 |  4225  |           景月湾           |     --    |      52%       |
| 1251 | 189958 |       中南白马湖壹号       |   98182   |      30%       |
| 1252 |  1523  |          新城广场          |   29313   |      20%       |
| 1253 |  438   |          西湖家园          |     --    |      21%       |
| 1254 |  1014  |          公元大厦          |   26508   |      30%       |
| 1255 | 273670 |        恒祺克拉天玺        |     --    |      25%       |
| 1256 | 23659  |         溪上玫瑰园         |   209334  |      40%       |
| 1257 |  4138  |       万家花园家和苑       |     --    |      41%       |
| 1258 |  1091  |          七里香溪          |  400200   |      70%       |
| 1259 |  8143  |          采荷新村          |     --    |     33.00%     |
| 1260 |   72   |          化纤新村          |   15000   |      45%       |
| 1261 |  9572  |          金石华城          |   92000   |      30%       |
| 1262 | 39576  |          和苑小区          |     --    |      30%       |
| 1263 |  209   |          现代之窗          |     --    |      25%       |
| 1264 |  1209  |         大关南五苑         |   80000   |       --       |
| 1265 | 13844  |          春江名苑          |     --    |      30%       |
| 1266 |  4701  |           凯旋路           |     --    |      40%       |
| 1267 | 141889 |          恒大帝景          |     --    |      30%       |
| 1275 | 30743  |         名城湖左岸         |   30000   |      30%       |
| 1276 |  1231  |         直戒坛寺巷         |   35354   |      30%       |
| 1277 |  413   |          南星公寓          |   80000   |      35%       |
| 1278 | 21185  |          金沙阳光          |   19696   |      22%       |
| 1279 | 39682  |          绿城兰园          |     --    |      30%       |
| 1280 | 192339 |      朗诗国际街区东园      |   72743   |      47%       |
| 1281 |  344   |          钱塘雅苑          |   9667    |      30%       |
| 1282 |  553   |           绿洲湾           |   102000  |      30%       |
| 1283 |  3994  |         大关东六苑         |    7000   |      50%       |
| 1284 |  7748  |          元茂大厦          |     --    |      3.1%      |
| 1285 | 20784  |        绿城丁香公馆        |   51174   |      50%       |
| 1286 |  4770  |         苏黎士小镇         |  282717   |      70%       |
| 1287 |  5974  |        北景园荷风苑        |     --    |      32%       |
| 1288 |  9247  |        得力半岛花园        |     --    |      40%       |
| 1289 |  5933  |        三新家园西区        |     --    |      25%       |
| 1290 |   97   |           伟华苑           |    2356   |      35%       |
| 1291 |  339   |        复兴城市家园        |     --    |      20%       |
| 1292 | 44045  |         莱德绅华府         |   35805   |      30%       |
| 1293 |  4787  |           新昌路           |     --    |       --       |
| 1301 |  7748  |          元茂大厦          |     --    |      3.1%      |
| 1302 |  344   |          钱塘雅苑          |   9667    |      30%       |
| 1303 |  553   |           绿洲湾           |   102000  |      30%       |
| 1304 |  3994  |         大关东六苑         |    7000   |      50%       |
| 1305 | 14831  |          西溪望庄          |     --    |     37.5%      |
| 1306 | 20784  |        绿城丁香公馆        |   51174   |      50%       |
| 1307 |  4770  |         苏黎士小镇         |  282717   |      70%       |
| 1308 | 74035  |         通策和睦院         |   41800   |      30%       |
| 1309 |  9247  |        得力半岛花园        |     --    |      40%       |
| 1310 |  5933  |        三新家园西区        |     --    |      25%       |
| 1311 |   97   |           伟华苑           |    2356   |      35%       |
| 1312 |  4023  |         新西湖花园         |  113220   |      80%       |
| 1313 |  339   |        复兴城市家园        |     --    |      20%       |
| 1314 |   66   |          田园公寓          |   28000   |      40%       |
| 1315 |  4787  |           新昌路           |     --    |       --       |
| 1316 | 17632  |          东城印象          |     --    |      30%       |
| 1317 |  745   |          西子公寓          |     --    |      26%       |
| 1318 |  374   |          凤山花苑          |     --    |      20%       |
| 1319 |  534   |          金欣公寓          |     --    |      30%       |
| 1327 | 97715  |       融创大家望江府       |   20480   |      30%       |
| 1328 |  367   |         义井巷小区         |     --    |      30%       |
| 1329 |  1383  |         大关东三苑         |     --    |      30%       |
| 1330 |  4136  |       万家花园欣和苑       |    6520   |      10%       |
| 1331 |  184   |          娑婆新村          |   40000   |      30%       |
| 1332 |  3995  |         大关东四苑         |   35000   |       1%       |
| 1333 |  6042  |          宝石新村          |     --    |      20%       |
| 1334 |  6046  |          保俶小区          |     --    |      25%       |
| 1335 |  668   |          幸福人家          |     --    |      35%       |
| 1336 |  869   |           新丰苑           |   29500   |      35%       |
| 1337 |   2    |          近江一园          |     --    |      30%       |
| 1338 | 29858  |        赛丽绿城丽园        |   27503   |      30%       |
| 1339 |  788   |           混堂桥           |    5230   |       5%       |
| 1340 |  992   |           丰家兜           |     --    |      35%       |
| 1341 |  4761  |           滨文苑           |     --    |      32%       |
| 1342 | 76809  |           星耀城           |   29408   |      25%       |
| 1343 |  125   |           电信巷           |     --    |      30%       |
| 1344 |  9581  |          大成名座          |     --    |     35.4%      |
| 1345 | 10155  |          定海东园          |   250000  |      30%       |
| 1353 |  4136  |       万家花园欣和苑       |    6520   |      10%       |
| 1354 | 10155  |          定海东园          |   250000  |      30%       |
| 1355 |  184   |          娑婆新村          |   40000   |      30%       |
| 1356 | 282458 |         佳源未来府         |   35886   |      20%       |
| 1357 |  3995  |         大关东四苑         |   35000   |       1%       |
| 1358 |  6042  |          宝石新村          |     --    |      20%       |
| 1359 |  668   |          幸福人家          |     --    |      35%       |
| 1360 |  6046  |          保俶小区          |     --    |      25%       |
| 1361 |  1532  |          蓝桥名苑          |   87000   |      35%       |
| 1362 |  869   |           新丰苑           |   29500   |      35%       |
| 1363 | 141889 |          恒大帝景          |     --    |      30%       |
| 1364 |  788   |           混堂桥           |    5230   |       5%       |
| 1365 |  992   |           丰家兜           |     --    |      35%       |
| 1366 |  4761  |           滨文苑           |     --    |      32%       |
| 1367 |  9482  |      广厦天都城天月苑      |  4388000  |     32.98%     |
| 1368 | 29858  |        赛丽绿城丽园        |   27503   |      30%       |
| 1369 |  117   |          三塘兰园          |     --    |      38%       |
| 1370 |  9581  |          大成名座          |     --    |     35.4%      |
| 1371 |  462   |         武林巷小区         |     --    |      12%       |
| 1379 |  4791  |          华艺星座          |   54539   |      30%       |
| 1380 |  1323  |          同仁家园          |     --    |      35%       |
| 1381 |  126   |        东新园新湖苑        |     --    |      20%       |
| 1382 |  373   |          望江公寓          |   10000   |      30%       |
| 1383 |  4306  |          新江花园          |   170000  |      30%       |
| 1384 | 43815  |        滨江金色黎明        |   190000  |      30%       |
| 1385 | 39669  |       绿城富春玫瑰园       |   520000  |      30%       |
| 1386 | 21176  |          金都夏宫          |   600000  |      30%       |
| 1387 |   60   |          香吉公寓          |   10000   |      35%       |
| 1388 |  5753  |          正兴堂弄          |     --    |      30%       |
| 1389 |   19   |        临江风帆公寓        |   5300    |      30%       |
| 1390 |  196   |          武林公寓          |     --    |      30%       |
| 1391 |  239   |          雅兰公寓          |     --    |      35%       |
| 1392 | 73419  |       华门自由21世纪       |     --    |     30.00%     |
| 1393 |  6400  |          四季名门          |    6700   |      30%       |
| 1394 | 37182  |         保利江语海         |     --    |     30.4%      |
| 1395 |  970   |          长堤明苑          |     --    |      30%       |
| 1396 | 55490  |         瑞城温莎郡         |   266400  |      38%       |
| 1397 |  7596  |           青芝坞           |     --    |      20%       |
| 1405 | 39669  |       绿城富春玫瑰园       |   520000  |      30%       |
| 1406 | 21176  |          金都夏宫          |   600000  |      30%       |
| 1407 |   60   |          香吉公寓          |   10000   |      35%       |
| 1408 | 54919  |          上东臻品          |   58714   |      30%       |
| 1409 | 99751  |        迪凯运河印象        |   25187   |      30%       |
| 1410 | 18742  |          东方君悦          |   17650   |     20.59%     |
| 1411 |  5753  |          正兴堂弄          |     --    |      30%       |
| 1412 |   19   |        临江风帆公寓        |   5300    |      30%       |
| 1413 | 37182  |         保利江语海         |     --    |     30.4%      |
| 1414 | 97715  |       融创大家望江府       |   20480   |      30%       |
| 1415 |  970   |          长堤明苑          |     --    |      30%       |
| 1416 |  7596  |           青芝坞           |     --    |      20%       |
| 1417 |  1319  |           御景城           |   27859   |     33.50%     |
| 1418 |  101   |          清宸公寓          |   10000   |      25%       |
| 1419 | 17363  |         白荡海社区         |     --    |      10%       |
| 1420 |  3979  |         大关南三苑         |   10000   |      30%       |
| 1421 |  326   |          广利佳苑          |   17106   |      30%       |
| 1422 |  774   |         孝丰路小区         |     --    |      35%       |
| 1423 |  761   |          玄坛公寓          |     --    |      30%       |
| 1431 |  7947  |          紫金港湾          |   14341   |      30%       |
| 1432 |  1481  |          运河东苑          |    5439   |      35%       |
| 1433 |  993   |           小河下           |     --    |       --       |
| 1434 | 99205  |        南北盛德国际        |   59250   |      30%       |
| 1435 |  613   |       老浙大横路小区       |     --    |       5%       |
| 1436 |  529   |          金海公寓          |     --    |      20%       |
| 1437 | 13263  |        良渚花苑新村        |   56000   |      25%       |
| 1438 |  1291  |          清波新村          |     --    |      50%       |
| 1439 |  9223  |    绿城西子青山湖玫瑰园    |  1067200  |      45%       |
| 1440 |  1061  |           裕兴苑           |   10000   |      30%       |
| 1441 | 13785  |          湘湖家园          |     --    |      42%       |
| 1442 |  4033  |           丽景苑           |     --    |       --       |
| 1443 |  3997  |         大关西五苑         |    7000   |      32%       |
| 1444 | 76809  |           星耀城           |   29408   |      25%       |
| 1445 |  125   |           电信巷           |     --    |      30%       |
| 1446 |  819   |           嘉禾苑           |     --    |      35%       |
| 1447 |  719   |          环东公寓          |   102000  |      32%       |
| 1448 |  1308  |           燕子弄           |     --    |      35%       |
| 1449 |  700   |         东清巷小区         |    4500   |      20%       |
| 1457 |  390   |          新工新村          |   120000  |      30%       |
| 1458 |   76   |          和睦公寓          |   42000   |      50%       |
| 1459 |  6952  |        金盛浦沿公寓        |   4910    |      30%       |
| 1460 |  528   |          丹枫新村          |   36000   |      30%       |
| 1461 |  4040  |          梅花三胜          |   48000   |      30%       |
| 1462 |  767   |         江山弄小区         |    3420   |     17.3%      |
| 1463 |  744   |          西湖花苑          |     --    |      30%       |
| 1464 | 93192  |        万科北宸之光        |   120369  |      30%       |
| 1465 |  695   |          贡院新村          |     --    |      10%       |
| 1466 | 39625  |           玺之湾           |   17600   |     37.2%      |
| 1467 |  197   |          百大花园          |     --    |       --       |
| 1468 | 114875 |          武林外滩          |   29371   |     35.5%      |
| 1469 |  1086  |          金源公寓          |     --    |      15%       |
| 1470 | 28059  |         华元天鹅堡         |   18485   |      25%       |
| 1471 |  8936  |          仙林福座          |   2094    |      30%       |
| 1472 |  793   |         凤起桥河下         |     --    |      13%       |
| 1473 | 43514  |          观澜时代          |   77212   |      30%       |
| 1474 |  1219  |          采荷青莼          |    6500   |      35%       |
| 1475 |   10   |          近江九园          |   10000   |      28%       |
| 1483 |  398   |          秋涛南苑          |    6500   |      10%       |
| 1484 |  9555  |          天亿大厦          |     --    |      22%       |
| 1485 | 42874  |        山缘老人公寓        |     --    |      30%       |
| 1486 |  1235  |          南湖明筑          |   15000   |      35%       |
| 1487 |  5737  |        大北四季风情        |   53360   |      36%       |
| 1488 |  764   |         武林桥河下         |     --    |      25%       |
| 1489 |  8807  |           北山路           |     --    |       --       |
| 1490 |  973   |           锦花苑           |     --    |      20%       |
| 1491 | 28058  |        中奥江锦国际        |    6535   |      40%       |
| 1492 |  4230  |          锦绣天地          |     --    |      10%       |
| 1493 | 252038 |        新城香悦奥府        |     --    |      30%       |
| 1494 |  688   |           柳营巷           |     --    |      10%       |
| 1495 |  1325  |          金桂大厦          |   7000    |      40%       |
| 1496 |  1349  |          锦绣钱塘          |   767000  |      65%       |
| 1497 |  4736  |         闸弄口新苑         |     --    |      21%       |
| 1498 |  296   |          广茵大厦          |     --    |      30%       |
| 1499 |  1059  |           教工路           |     --    |      30%       |
| 1500 |  741   |          兴和公寓          |     --    |      30%       |
| 1501 |  1183  |         江城路小区         |   100000  |      30%       |
